	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	ph
804.LS11.19	107431.0	549	218.0	1	0.0	0	12.3
804.LS11.20	98600.0	888	1.0	1	1.0	1	12.3
804.LS11.69	125235.0	1804	4.0	1	1.0	1	12.2
804.LS11.70	252962.0	1424	284.0	2	0.0	0	12.2
804.LS11.70a	270279.0	1759	2.0	2	5.0	2	12.2
804.LS11.71	287056.0	2337	2.0	2	2.0	2	12.2
804.LS11.72	137770.0	2438	15.0	1	49.0	4	12.2
805.pH.4.5.year.2006	119655.0	3644	28.0	2	17.0	2	4.5
805.pH.4.5.year.2007	113889.0	3624	1.0	1	17.0	4	4.5
805.pH.5.0.year.2006	113050.0	4491	1.0	1	27.0	7	5.0
805.pH.5.0.year.2007	95542.0	4528	0.0	0	20.0	8	5.0
805.pH.5.5.year.2006	113716.0	4975	1.0	1	19.0	3	5.5
805.pH.5.5.year.2007	82971.0	1179	5173.0	10	2.0	2	5.5
805.pH.6.0.year.2006	128144.0	4662	0.0	0	9.0	2	6.0
805.pH.6.0.year.2007	97539.0	4994	0.0	0	15.0	6	6.0
805.pH.6.5.year.2006	115287.0	5322	1.0	1	46.0	9	6.5
805.pH.6.5.year.2007	120996.0	4806	0.0	0	48.0	4	6.5
805.pH.7.0.year.2006	104710.0	4078	0.0	0	59.0	4	7.0
805.pH.7.0.year.2007	94623.0	4924	1.0	1	52.0	3	7.0
805.pH.7.5.year.2006	108820.0	3605	0.0	0	64.0	3	7.5
805.pH.7.5.year.2007	74083.0	1014	1.0	1	0.0	0	7.5
807.B.F.11.a	47623.0	2784	2.0	2	0.0	0	8.08
807.B.F.11.b	53642.0	3139	60.0	2	0.0	0	8.59
807.B.S.12.a	57473.0	3498	6.0	1	5.0	2	9.0
807.B.S.12.b	48592.0	2729	10.0	3	4.0	2	9.2
807.BG.F.11.a	47304.0	2829	2.0	1	1.0	1	9.37
807.BG.F.11.b	45213.0	2767	3.0	2	2.0	1	9.42
807.BG.S.11.a	50256.0	3072	4.0	1	1.0	1	8.64
807.BG.S.11.b	47691.0	2984	2.0	1	0.0	0	8.7
807.BG.S.12.a	43435.0	2982	1.0	1	1.0	1	8.85
807.BG.S.12.b	49554.0	3115	2.0	2	0.0	0	9.09
807.C.F.10.a	55864.0	3026	1.0	1	0.0	0	8.69
807.C.F.10.b	52501.0	2848	3.0	1	8.0	3	8.69
807.C.F.11.a	48492.0	2500	4.0	2	0.0	0	8.88
807.C.F.11.b	47929.0	2523	3.0	2	1.0	1	9.05
807.C.S.11.a	49243.0	2848	0.0	0	2.0	2	8.21
807.C.S.12.a	38764.0	2246	1.0	1	1.0	1	8.56
807.C.S.12.b	47748.0	2500	2.0	2	0.0	0	8.25
807.E.F.10.a	44177.0	2778	4.0	1	2.0	1	8.52
807.E.F.10.b	47859.0	2971	0.0	0	2.0	1	8.52
807.E.F.11.a	45407.0	2741	3.0	2	0.0	0	9.05
807.E.S.12.a	48833.0	2691	5.0	1	0.0	0	9.36
807.E.S.12.b	47150.0	2461	6.0	1	4.0	1	9.36
807.S.F.11.a	48186.0	2697	1.0	1	1.0	1	9.07
807.S.F.11.b	44426.0	2689	2.0	1	0.0	0	9.07
807.S.S.11.a	48936.0	2686	2.0	1	7.0	3	8.73
807.S.S.11.b	51621.0	3055	8.0	2	4.0	2	8.73
807.S.S.12.a	48507.0	3147	2.0	1	1.0	1	9.52
807.S.S.12.b	43585.0	2987	2.0	1	50.0	3	9.48
807.W.F.10.a	45612.0	2736	5.0	1	0.0	0	8.61
807.W.F.10.b	49437.0	2915	4.0	1	3.0	2	8.61
807.W.F.11.a	48130.0	2800	4.0	2	1.0	1	9.14
807.W.F.11.b	42677.0	2469	2.0	1	2.0	2	9.2
807.W.S.11.a	44754.0	2654	1.0	1	2.0	1	8.77
807.W.S.11.b	41280.0	2645	0.0	0	1.0	1	8.76
807.W.S.12.a	42744.0	2870	3.0	1	16.0	6	9.39
807.W.S.12.b	46152.0	2775	5.0	4	0.0	0	9.4
808.AK.19.12a.s.4.1.sequences	156484.0	2914	1.0	1	104.0	2	3.74
808.AK.19.15a.s.4.1.sequences	245437.0	3020	1.0	1	11.0	4	3.45
808.AK.19.18a.s.4.1.sequences	148279.0	2941	0.0	0	26.0	1	3.87
808.FL.3.13a.s.4.1.sequences	117165.0	3087	1.0	1	2.0	2	5.44
808.FL.3.14a.s.4.1.sequences	100197.0	1549	17.0	2	0.0	0	4.99
808.HI.20.11a.s.4.1.sequences	104726.0	3837	0.0	0	4.0	3	4.76
808.UT.15.42.s.4.1.sequences	304043.0	4798	1.0	1	18.0	1	7.86
808.UT.15.45.s.4.1.sequences	148094.0	3983	0.0	0	12.0	1	7.89
829.JJ	38471.0	564	1438.0	2	1.0	1	8.5
829.Pd	98200.0	4202	5.0	2	0.0	0	6.4
895.Puhimau.mat.2	23182.0	163	6.0	2	7330.0	1	4.33
895.Puhimau.mat.3	11410.0	111	1.0	1	2.0	1	3.77
895.Puhimau.soil.1	34042.0	79	1.0	1	11.0	1	6.36
895.Puhimau.soil.2	46703.0	118	6.0	2	0.0	0	6.13
895.Puhimau.soil.3	32849.0	125	4.0	1	0.0	0	6.78
925.IA3z	10414.0	108	10.0	1	1.0	1	8.65
925.IA4x	12469.0	82	1.0	1	0.0	0	8.65
925.IB1y	9808.0	70	1.0	1	0.0	0	8.76
925.IB1z	8600.0	94	1.0	1	0.0	0	8.76
925.IB2x	10083.0	132	1.0	1	0.0	0	8.76
925.IB4y	10973.0	116	4.0	1	0.0	0	8.76
925.IC4x	11280.0	132	9.0	1	0.0	0	8.75
925.IC4z	10797.0	88	1.0	1	0.0	0	8.75
925.IC5y	10566.0	76	14.0	1	0.0	0	8.75
925.IC5z	10928.0	132	3.0	1	0.0	0	8.75
925.ID2x	8652.0	297	1.0	1	0.0	0	9.0
925.ID2y	9129.0	317	1.0	1	0.0	0	9.0
925.ID3y	10649.0	103	0.0	0	1.0	1	9.0
925.IE1x	8114.0	497	0.0	0	1.0	1	9.0
925.IE4z	11638.0	111	24.0	1	0.0	0	9.0
925.IE5z	7299.0	87	3.0	1	0.0	0	9.0
925.IG4y	11242.0	71	13.0	1	0.0	0	8.75
925.IH2x	10580.0	58	1.0	1	0.0	0	8.79
925.IH2z	9967.0	46	1.0	1	0.0	0	8.79
925.II2y	10649.0	584	1.0	1	0.0	0	8.78
925.II3y	9806.0	146	2.0	1	0.0	0	8.78
925.IJ5z	11168.0	52	17.0	1	0.0	0	8.78
925.IK4y	10250.0	301	1.0	1	0.0	0	8.78
925.IL2y	11423.0	70	1.0	1	0.0	0	8.94
925.IM1y	10379.0	112	2.0	1	0.0	0	9.0
925.IM1z	11520.0	155	5.0	1	0.0	0	9.0
925.IM4y	18474.0	73	1.0	1	0.0	0	9.0
925.IN1y	17230.0	327	1.0	1	0.0	0	9.22
925.IN1z	13821.0	259	1.0	1	0.0	0	9.22
925.IN3x	20572.0	605	1.0	1	0.0	0	9.22
925.IN3y	15712.0	832	1.0	1	0.0	0	9.22
925.IO3x	14449.0	937	0.0	0	1.0	1	9.22
945.P1.A10.lane2.NoIndex.L002	49394.0	454	14.0	2	0.0	0	8.4
945.P1.A11.lane2.NoIndex.L002	35702.0	503	14.0	2	0.0	0	8.08
945.P1.A12.lane2.NoIndex.L002	23885.0	530	66.0	2	0.0	0	8.55
945.P1.A2.lane2.NoIndex.L002	43893.0	912	4.0	1	0.0	0	8.22
945.P1.A3.lane2.NoIndex.L002	39637.0	2538	0.0	0	7.0	3	8.56
945.P1.A4.lane2.NoIndex.L002	35891.0	2970	0.0	0	4.0	3	8.56
945.P1.A5.lane2.NoIndex.L002	51395.0	616	32.0	1	2.0	1	8.3
945.P1.A6.lane2.NoIndex.L002	35482.0	553	50.0	1	0.0	0	8.32
945.P1.A7.lane2.NoIndex.L002	55960.0	527	3.0	1	4.0	1	8.54
945.P1.A8.lane2.NoIndex.L002	33141.0	457	41.0	3	0.0	0	8.55
945.P1.B10.lane2.NoIndex.L002	34443.0	637	3.0	1	0.0	0	8.4
945.P1.B11.lane2.NoIndex.L002	48028.0	431	0.0	0	4.0	1	8.08
945.P1.B2.lane2.NoIndex.L002	41982.0	266	152.0	2	0.0	0	8.22
945.P1.B6.lane2.NoIndex.L002	53423.0	457	3.0	1	0.0	0	8.32
945.P1.B8.lane2.NoIndex.L002	30519.0	805	7.0	1	0.0	0	8.55
945.P1.C10.lane2.NoIndex.L002	54678.0	612	4.0	1	0.0	0	7.73
945.P1.C11.lane2.NoIndex.L002	29989.0	300	0.0	0	1.0	1	7.63
945.P1.C12.lane2.NoIndex.L002	18887.0	448	23.0	2	0.0	0	8.5
945.P1.C2.lane2.NoIndex.L002	34625.0	513	18.0	2	0.0	0	8.0
945.P1.C3.lane2.NoIndex.L002	39367.0	434	12.0	2	0.0	0	7.94
945.P1.C4.lane2.NoIndex.L002	43580.0	512	2.0	1	0.0	0	7.78
945.P1.C5.lane2.NoIndex.L002	90278.0	1504	16.0	1	0.0	0	7.66
945.P1.C6.lane2.NoIndex.L002	47562.0	3201	1.0	1	7.0	5	8.15
945.P1.C7.lane2.NoIndex.L002	39583.0	2648	0.0	0	7.0	3	8.34
945.P1.C8.lane2.NoIndex.L002	39726.0	955	8.0	2	0.0	0	8.1
945.P1.D11.lane2.NoIndex.L002	37846.0	466	64.0	1	0.0	0	7.63
945.P1.D12.lane2.NoIndex.L002	20725.0	594	3.0	1	0.0	0	8.5
945.P1.D2.lane2.NoIndex.L002	25952.0	492	131.0	2	0.0	0	8.0
945.P1.D5.lane2.NoIndex.L002	77647.0	428	15.0	1	0.0	0	7.66
945.P1.D6.lane2.NoIndex.L002	52701.0	472	4.0	1	0.0	0	8.15
945.P1.D7.lane2.NoIndex.L002	159438.0	831	32.0	1	1.0	1	8.34
945.P1.D8.lane2.NoIndex.L002	43272.0	520	25.0	1	0.0	0	8.1
945.P1.E1.lane2.NoIndex.L002	47869.0	2640	1.0	1	1.0	1	8.37
945.P1.E10.lane2.NoIndex.L002	42140.0	307	10.0	1	4.0	2	8.18
945.P1.E12.lane2.NoIndex.L002	27245.0	813	1.0	1	0.0	0	8.57
945.P1.E2.lane2.NoIndex.L002	41833.0	2417	1.0	1	6.0	4	8.53
945.P1.E3.lane2.NoIndex.L002	54144.0	521	7.0	1	0.0	0	8.73
945.P1.E5.lane2.NoIndex.L002	48916.0	484	49.0	1	0.0	0	8.14
945.P1.E6.lane2.NoIndex.L002	52617.0	583	3.0	1	0.0	0	8.45
945.P1.E7.lane2.NoIndex.L002	36544.0	564	44.0	1	0.0	0	8.48
945.P1.E9.lane2.NoIndex.L002	25044.0	439	14.0	1	4.0	1	8.55
945.P1.F1.lane2.NoIndex.L002	38339.0	811	2.0	2	0.0	0	8.37
945.P1.F10.lane2.NoIndex.L002	53431.0	401	1.0	1	0.0	0	8.18
945.P1.F11.lane2.NoIndex.L002	39861.0	1137	29.0	1	0.0	0	8.15
945.P1.F2.lane2.NoIndex.L002	29123.0	430	137.0	3	0.0	0	8.53
945.P1.F3.lane2.NoIndex.L002	66957.0	692	4.0	1	0.0	0	8.73
945.P1.F4.lane2.NoIndex.L002	60949.0	568	4.0	2	0.0	0	8.69
945.P1.F5.lane2.NoIndex.L002	45986.0	483	128.0	4	0.0	0	8.14
945.P1.F6.lane2.NoIndex.L002	42401.0	2837	0.0	0	3.0	3	8.45
945.P1.F7.lane2.NoIndex.L002	51095.0	524	4.0	1	0.0	0	8.48
945.P1.F8.lane2.NoIndex.L002	25739.0	404	0.0	0	4.0	1	8.56
945.P1.F9.lane2.NoIndex.L002	21551.0	381	6.0	1	0.0	0	8.55
945.P1.G1.lane2.NoIndex.L002	34765.0	478	72.0	2	19.0	1	8.17
945.P1.G10.lane2.NoIndex.L002	50406.0	432	1.0	1	0.0	0	7.68
945.P1.G11.lane2.NoIndex.L002	44866.0	1526	8.0	1	0.0	0	8.08
945.P1.G12.lane2.NoIndex.L002	51179.0	549	1.0	1	0.0	0	8.5
945.P1.G2.lane2.NoIndex.L002	35034.0	835	1.0	1	0.0	0	8.03
945.P1.G3.lane2.NoIndex.L002	49458.0	496	1.0	1	0.0	0	8.1
945.P1.G4.lane2.NoIndex.L002	35367.0	2238	0.0	0	5.0	3	8.09
945.P1.G5.lane2.NoIndex.L002	129837.0	3545	0.0	0	6.0	4	7.6
945.P1.G6.lane2.NoIndex.L002	50770.0	772	2.0	1	0.0	0	8.42
945.P1.G7.lane2.NoIndex.L002	24540.0	297	54.0	2	7.0	1	8.09
945.P1.G8.lane2.NoIndex.L002	15550.0	360	101.0	1	39.0	2	7.97
945.P1.G9.lane2.NoIndex.L002	32713.0	404	8.0	1	13.0	1	7.81
945.P1.H1.lane2.NoIndex.L002	61831.0	486	4.0	1	0.0	0	8.17
945.P1.H11.lane2.NoIndex.L002	47012.0	630	4.0	1	0.0	0	8.08
945.P1.H12.lane2.NoIndex.L002	54068.0	1225	0.0	0	6.0	2	8.5
945.P1.H2.lane2.NoIndex.L002	38813.0	501	42.0	1	0.0	0	8.03
945.P1.H4.lane2.NoIndex.L002	70057.0	624	18.0	1	0.0	0	8.09
945.P1.H5.lane2.NoIndex.L002	25324.0	566	2.0	1	0.0	0	7.6
945.P1.H7.lane2.NoIndex.L002	33669.0	786	35.0	2	0.0	0	8.09
945.P1.H8.lane2.NoIndex.L002	25764.0	848	17.0	1	0.0	0	7.97
945.P1.H9.lane2.NoIndex.L002	44911.0	508	91.0	2	2.0	1	7.81
945.P10.A1.lane3.NoIndex.L003	16258.0	571	0.0	0	8.0	1	8.76
945.P10.A4.lane3.NoIndex.L003	29010.0	633	21.0	1	0.0	0	8.38
945.P10.A5.lane3.NoIndex.L003	25282.0	1171	0.0	0	2.0	1	8.96
945.P10.B4.lane3.NoIndex.L003	32843.0	572	1.0	1	0.0	0	8.38
945.P10.B9.lane3.NoIndex.L003	22769.0	476	133.0	3	57.0	6	8.42
945.P10.C10.lane3.NoIndex.L003	24882.0	331	0.0	0	1.0	1	8.6
945.P10.C12.lane3.NoIndex.L003	17129.0	527	0.0	0	22.0	1	8.53
945.P10.C4.lane3.NoIndex.L003	20291.0	469	5.0	1	10.0	1	8.84
945.P10.C7.lane3.NoIndex.L003	19499.0	477	0.0	0	44.0	1	8.41
945.P10.D2.lane3.NoIndex.L003	23772.0	847	27.0	2	0.0	0	8.51
945.P10.D3.lane3.NoIndex.L003	20915.0	1165	0.0	0	2.0	1	8.13
945.P10.D5.lane3.NoIndex.L003	19749.0	607	0.0	0	14.0	1	8.71
945.P10.E2.lane3.NoIndex.L003	20991.0	1142	0.0	0	1.0	1	8.13
945.P10.E4.lane3.NoIndex.L003	31455.0	573	0.0	0	1.0	1	9.03
945.P10.E6.lane3.NoIndex.L003	28298.0	1272	0.0	0	4.0	1	8.43
945.P10.E7.lane3.NoIndex.L003	33851.0	738	1.0	1	0.0	0	8.45
945.P10.F1.lane3.NoIndex.L003	20337.0	862	1.0	1	1.0	1	8.49
945.P10.F11.lane3.NoIndex.L003	28239.0	1263	0.0	0	3.0	1	8.21
945.P10.F12.lane3.NoIndex.L003	18631.0	521	0.0	0	1.0	1	8.48
945.P10.F5.lane3.NoIndex.L003	26226.0	556	0.0	0	1.0	1	7.91
945.P10.F7.lane3.NoIndex.L003	38066.0	502	18.0	1	1.0	1	8.45
945.P10.G2.lane3.NoIndex.L003	20407.0	579	1.0	1	0.0	0	8.64
945.P10.G5.lane3.NoIndex.L003	17261.0	434	0.0	0	50.0	1	7.93
945.P10.G6.lane3.NoIndex.L003	28269.0	604	1.0	1	0.0	0	8.5
945.P10.H7.lane3.NoIndex.L003	26384.0	741	0.0	0	2.0	1	8.27
945.P10.H9.lane3.NoIndex.L003	26793.0	542	1.0	1	0.0	0	8.2
945.P11.A12.lane3.NoIndex.L003	28632.0	510	38.0	1	0.0	0	8.55
945.P11.A2.lane3.NoIndex.L003	21088.0	653	0.0	0	29.0	1	8.31
945.P11.A6.lane3.NoIndex.L003	44602.0	958	13.0	1	0.0	0	8.52
945.P11.A9.lane3.NoIndex.L003	24297.0	913	50.0	1	0.0	0	8.47
945.P11.B10.lane3.NoIndex.L003	24170.0	651	1.0	1	0.0	0	8.7
945.P11.B6.lane3.NoIndex.L003	12566.0	426	0.0	0	16.0	2	8.52
945.P11.C10.lane3.NoIndex.L003	17231.0	963	0.0	0	1.0	1	8.27
945.P11.C11.lane3.NoIndex.L003	21461.0	561	1.0	1	0.0	0	8.28
945.P11.C12.lane3.NoIndex.L003	25080.0	639	0.0	0	4.0	1	8.92
945.P11.C7.lane3.NoIndex.L003	13879.0	522	0.0	0	3.0	1	8.23
945.P11.C9.lane3.NoIndex.L003	21351.0	640	0.0	0	1.0	1	8.56
945.P11.D10.lane3.NoIndex.L003	40153.0	451	63.0	1	0.0	0	8.27
945.P11.D12.lane3.NoIndex.L003	24479.0	478	1.0	1	0.0	0	8.92
945.P11.D7.lane3.NoIndex.L003	19042.0	951	100.0	1	0.0	0	8.23
945.P11.E10.lane3.NoIndex.L003	25234.0	922	46.0	2	1.0	1	8.24
945.P11.E5.lane3.NoIndex.L003	17727.0	841	0.0	0	2.0	1	8.54
945.P11.E6.lane3.NoIndex.L003	13099.0	469	0.0	0	12.0	1	8.56
945.P11.E7.lane3.NoIndex.L003	25533.0	331	56.0	1	0.0	0	8.17
945.P11.F10.lane3.NoIndex.L003	26993.0	669	0.0	0	1.0	1	8.24
945.P11.F3.lane3.NoIndex.L003	27573.0	988	0.0	0	1.0	1	8.88
945.P11.F4.lane3.NoIndex.L003	23389.0	275	0.0	0	1.0	1	8.16
945.P11.F9.lane3.NoIndex.L003	15199.0	324	0.0	0	3.0	1	8.6
945.P11.H1.lane3.NoIndex.L003	25851.0	658	0.0	0	35.0	1	8.62
945.P11.H11.lane3.NoIndex.L003	21241.0	820	32.0	1	1.0	1	8.7
945.P11.H12.lane3.NoIndex.L003	18488.0	710	0.0	0	1.0	1	8.29
945.P11.H2.lane3.NoIndex.L003	19386.0	614	0.0	0	9.0	1	7.98
945.P11.H5.lane3.NoIndex.L003	23304.0	328	492.0	1	0.0	0	8.42
945.P11.H7.lane3.NoIndex.L003	24717.0	336	1.0	1	0.0	0	8.01
945.P11.H8.lane3.NoIndex.L003	21075.0	962	7.0	1	4.0	1	8.39
945.P12.A10.lane5.NoIndex.L005	52444.0	529	2.0	1	0.0	0	8.63
945.P12.A11.lane5.NoIndex.L005	44298.0	945	1.0	1	2.0	1	8.55
945.P12.A12.lane5.NoIndex.L005	29411.0	474	2.0	1	0.0	0	8.37
945.P12.A3.lane3.NoIndex.L003	22360.0	1019	8.0	1	0.0	0	8.42
945.P12.A5.lane5.NoIndex.L005	24483.0	570	6.0	1	0.0	0	8.56
945.P12.A6.lane5.NoIndex.L005	35151.0	505	3.0	1	0.0	0	8.51
945.P12.A7.lane5.NoIndex.L005	46569.0	542	2.0	1	0.0	0	8.21
945.P12.A8.lane5.NoIndex.L005	45828.0	1446	3.0	1	1.0	1	8.67
945.P12.A9.lane5.NoIndex.L005	36076.0	553	1.0	1	0.0	0	8.5
945.P12.B10.lane5.NoIndex.L005	52284.0	758	4.0	1	0.0	0	8.63
945.P12.B11.lane5.NoIndex.L005	41751.0	404	2.0	1	0.0	0	8.55
945.P12.B12.lane5.NoIndex.L005	46924.0	726	4.0	1	0.0	0	8.37
945.P12.B6.lane5.NoIndex.L005	48961.0	620	5.0	2	0.0	0	8.51
945.P12.B7.lane5.NoIndex.L005	51841.0	584	2.0	1	0.0	0	8.21
945.P12.B8.lane5.NoIndex.L005	42645.0	983	1.0	1	0.0	0	8.67
945.P12.B9.lane5.NoIndex.L005	43324.0	675	6.0	1	0.0	0	8.5
945.P12.C1.lane3.NoIndex.L003	11950.0	504	0.0	0	1.0	1	8.03
945.P12.C11.lane5.NoIndex.L005	32421.0	387	1.0	1	0.0	0	8.67
945.P12.C12.lane5.NoIndex.L005	38361.0	438	3.0	1	0.0	0	8.17
945.P12.C4.lane3.NoIndex.L003	17929.0	342	65.0	1	0.0	0	8.57
945.P12.C6.lane5.NoIndex.L005	48680.0	522	2.0	1	0.0	0	8.82
945.P12.C7.lane5.NoIndex.L005	51900.0	691	5.0	1	0.0	0	8.15
945.P12.C8.lane5.NoIndex.L005	35972.0	473	1.0	1	0.0	0	8.56
945.P12.C9.lane5.NoIndex.L005	49856.0	504	2.0	1	0.0	0	8.39
945.P12.D1.lane3.NoIndex.L003	23429.0	936	59.0	1	0.0	0	8.03
945.P12.D10.lane5.NoIndex.L005	45644.0	522	1.0	1	0.0	0	8.81
945.P12.D11.lane5.NoIndex.L005	35592.0	537	6.0	1	1.0	1	8.67
945.P12.D12.lane5.NoIndex.L005	50758.0	574	1.0	1	0.0	0	8.17
945.P12.D4.lane3.NoIndex.L003	21266.0	952	26.0	2	1.0	1	8.57
945.P12.E1.lane3.NoIndex.L003	21709.0	931	23.0	1	0.0	0	8.22
945.P12.E10.lane5.NoIndex.L005	49284.0	752	2.0	2	0.0	0	8.71
945.P12.E11.lane5.NoIndex.L005	41860.0	551	2.0	1	0.0	0	8.7
945.P12.E4.lane3.NoIndex.L003	22928.0	394	1.0	1	0.0	0	8.74
945.P12.E5.lane5.NoIndex.L005	39855.0	536	1.0	1	0.0	0	8.56
945.P12.E8.lane5.NoIndex.L005	41324.0	671	6.0	3	0.0	0	8.7
945.P12.E9.lane5.NoIndex.L005	48512.0	516	1.0	1	1.0	1	8.27
945.P12.F10.lane5.NoIndex.L005	41284.0	1821	12.0	1	0.0	0	8.71
945.P12.F11.lane5.NoIndex.L005	37329.0	885	27.0	1	0.0	0	8.7
945.P12.F12.lane5.NoIndex.L005	43116.0	619	2.0	1	0.0	0	8.04
945.P12.F4.lane5.NoIndex.L005	24130.0	1012	6.0	1	1.0	1	8.74
945.P12.F5.lane5.NoIndex.L005	32692.0	690	9.0	3	0.0	0	8.56
945.P12.F6.lane5.NoIndex.L005	41484.0	465	1.0	1	0.0	0	8.82
945.P12.F7.lane5.NoIndex.L005	33150.0	1271	20.0	1	0.0	0	8.4
945.P12.F8.lane5.NoIndex.L005	40067.0	936	7.0	1	1.0	1	8.7
945.P12.G10.lane5.NoIndex.L005	33795.0	874	2.0	1	0.0	0	8.7
945.P12.G12.lane5.NoIndex.L005	46589.0	478	17.0	1	0.0	0	8.82
945.P12.G3.lane3.NoIndex.L003	22490.0	788	0.0	0	1.0	1	7.98
945.P12.G4.lane5.NoIndex.L005	35777.0	947	24.0	1	0.0	0	8.62
945.P12.G5.lane5.NoIndex.L005	39293.0	469	1.0	1	0.0	0	8.72
945.P12.G7.lane5.NoIndex.L005	44716.0	1239	35.0	1	9.0	3	8.74
945.P12.G9.lane5.NoIndex.L005	44926.0	534	2.0	1	1.0	1	8.06
945.P12.H10.lane5.NoIndex.L005	40841.0	1666	2.0	1	0.0	0	8.7
945.P12.H11.lane5.NoIndex.L005	35877.0	716	8.0	2	0.0	0	8.65
945.P12.H12.lane5.NoIndex.L005	48531.0	680	8.0	2	0.0	0	8.82
945.P12.H2.lane3.NoIndex.L003	20238.0	370	19.0	1	0.0	0	8.62
945.P12.H5.lane5.NoIndex.L005	32929.0	668	7.0	1	1.0	1	8.72
945.P12.H6.lane5.NoIndex.L005	53882.0	687	1.0	1	0.0	0	8.66
945.P12.H7.lane5.NoIndex.L005	41762.0	1433	2.0	1	1.0	1	8.74
945.P12.H8.lane5.NoIndex.L005	35906.0	551	4.0	1	3.0	1	8.55
945.P12.H9.lane5.NoIndex.L005	39350.0	622	0.0	0	1.0	1	8.06
945.P13.A1.lane5.NoIndex.L005	47267.0	454	2.0	2	0.0	0	8.85
945.P13.A2.lane5.NoIndex.L005	32211.0	917	1.0	1	0.0	0	8.58
945.P13.A3.lane5.NoIndex.L005	40311.0	565	2.0	1	0.0	0	8.55
945.P13.A4.lane5.NoIndex.L005	56428.0	474	3.0	2	0.0	0	8.77
945.P13.B1.lane5.NoIndex.L005	50287.0	888	8.0	2	0.0	0	8.85
945.P13.B2.lane5.NoIndex.L005	42413.0	650	5.0	1	0.0	0	8.58
945.P13.B4.lane5.NoIndex.L005	45923.0	954	4.0	2	0.0	0	8.77
945.P13.C1.lane5.NoIndex.L005	43066.0	562	1.0	1	0.0	0	8.54
945.P13.C2.lane5.NoIndex.L005	30621.0	461	4.0	1	2.0	2	8.23
945.P13.D1.lane5.NoIndex.L005	44910.0	587	2.0	1	0.0	0	8.54
945.P13.D2.lane5.NoIndex.L005	30715.0	573	23.0	2	0.0	0	8.23
945.P13.D3.lane5.NoIndex.L005	55353.0	647	1.0	1	0.0	0	8.8
945.P13.D4.lane5.NoIndex.L005	36622.0	544	1.0	1	0.0	0	8.71
945.P13.E4.lane5.NoIndex.L005	46692.0	554	1.0	1	0.0	0	8.52
945.P13.F1.lane5.NoIndex.L005	41668.0	1277	5.0	2	1.0	1	8.63
945.P13.F2.lane5.NoIndex.L005	28662.0	646	4.0	1	0.0	0	8.18
945.P13.F3.lane5.NoIndex.L005	57159.0	503	15.0	2	0.0	0	8.68
945.P13.G1.lane5.NoIndex.L005	32888.0	856	1.0	1	0.0	0	8.59
945.P13.G2.lane5.NoIndex.L005	38046.0	594	1.0	1	0.0	0	8.23
945.P13.G3.lane5.NoIndex.L005	51190.0	557	7.0	1	0.0	0	8.72
945.P13.H1.lane5.NoIndex.L005	41349.0	1334	0.0	0	7.0	1	8.59
945.P13.H2.lane5.NoIndex.L005	34176.0	652	2.0	2	0.0	0	8.23
945.P13.H3.lane5.NoIndex.L005	53857.0	658	5.0	1	0.0	0	8.72
945.P14.B11.lane3.NoIndex.L003	19196.0	596	0.0	0	3.0	1	8.52
945.P14.C10.lane3.NoIndex.L003	31142.0	656	1.0	1	0.0	0	8.21
945.P14.C12.lane3.NoIndex.L003	25711.0	814	1.0	1	0.0	0	8.0
945.P14.D11.lane3.NoIndex.L003	24795.0	1193	0.0	0	4.0	1	7.98
945.P14.D12.lane3.NoIndex.L003	21629.0	471	1.0	1	0.0	0	8.06
945.P14.D9.lane3.NoIndex.L003	28823.0	1139	0.0	0	5.0	1	8.24
945.P14.G9.lane3.NoIndex.L003	15886.0	505	0.0	0	1.0	1	8.2
945.P14.H9.lane3.NoIndex.L003	22928.0	291	753.0	11	167.0	11	8.37
945.P2.A1.lane2.NoIndex.L002	48472.0	621	8.0	3	0.0	0	8.48
945.P2.A10.lane2.NoIndex.L002	57779.0	454	1.0	1	0.0	0	8.32
945.P2.A12.lane2.NoIndex.L002	47524.0	1542	16.0	1	0.0	0	8.62
945.P2.A2.lane2.NoIndex.L002	52615.0	741	11.0	1	1.0	1	8.71
945.P2.A3.lane2.NoIndex.L002	40143.0	667	1.0	1	0.0	0	8.8
945.P2.A5.lane2.NoIndex.L002	57409.0	418	3.0	1	1.0	1	8.28
945.P2.A6.lane2.NoIndex.L002	46194.0	1376	9.0	1	0.0	0	8.75
945.P2.A8.lane2.NoIndex.L002	62993.0	560	3.0	1	0.0	0	8.57
945.P2.A9.lane2.NoIndex.L002	43825.0	644	5.0	2	0.0	0	8.08
945.P2.B1.lane2.NoIndex.L002	45020.0	674	1.0	1	0.0	0	8.48
945.P2.B11.lane2.NoIndex.L002	45083.0	402	3.0	2	0.0	0	8.76
945.P2.B12.lane2.NoIndex.L002	41756.0	1552	15.0	1	0.0	0	8.62
945.P2.B2.lane2.NoIndex.L002	43396.0	473	2.0	1	1.0	1	8.71
945.P2.B3.lane2.NoIndex.L002	43587.0	549	4.0	1	0.0	0	8.8
945.P2.B4.lane2.NoIndex.L002	39836.0	447	3.0	1	0.0	0	8.35
945.P2.B5.lane2.NoIndex.L002	53972.0	372	10.0	1	1.0	1	8.28
945.P2.B6.lane2.NoIndex.L002	59240.0	2201	21.0	2	0.0	0	8.75
